,Theme,Category,Valence_mean,Valence_SD,Arousal_mean,Arousal_SD,Contrast,Entropy,Sum_Entropy,Difference_Entropy
80,Birthday 3,Scene,5.56862745098039,1.04842931953035,3.42574257425743,1.51885835187792,734.0792121793704,13.680854940870905,8.705433845371948,5.372762721322374
81,Bloody knife 1,Object,1.84313725490196,1.06003080507466,4.54455445544554,1.93661949011801,152.66767277286397,11.842115786764936,8.586271719764415,3.772039577544084
82,Bloody knife 2,Object,2.25742574257426,1.10139425590053,3.90291262135922,1.99270514286679,94.14788251816913,10.38614355920847,8.013365195773481,3.086343808195717
83,Boat 1,Object,4.57407407407407,1.12908617175431,2.79807692307692,1.71447185500323,655.7482834447084,12.959118641919298,8.269097251823835,4.988753843141675
84,Bored face 1,Person,3.64814814814815,0.777184167481206,2.375,1.47593972039932,69.63347085775557,12.214606919318216,8.750839211693076,3.8869243202723425
85,Bored pose 1,Person,3.55882352941176,1.06774055338452,2.92079207920792,1.44694967650455,246.06234670719874,12.41528618018436,8.213720929485426,4.513804940248162
86,Bored pose 2,Person,3.18627450980392,0.972191483368331,2.74257425742574,1.54047697383982,75.21109312421834,10.868577633930066,8.386854698871852,3.717713160522309
87,Bored pose 3,Person,3.08823529411765,0.857153257279446,2.71287128712871,1.47876051924148,275.90581701121516,13.043492577611177,8.816911797144993,4.464371009025344
88,Bored pose 4,Person,3.12745098039216,1.02127437986049,3.01980198019802,1.4420832016205,128.20319658364346,11.293988693068247,7.668360680093921,4.301901221286178
89,Bored pose 5,Person,3.8019801980198,0.927575355215931,3.03883495145631,1.48800649704126,201.02849319692004,7.237800724004238,5.356809057911824,2.9363566925183973
90,Bored pose 6,Person,4.55882352941176,1.20702177797677,3.38613861386139,1.58095096084416,251.8524080617372,9.40398502976235,7.043598364985915,3.412299959928904
91,Bottle 1,Object,4.17647058823529,0.801134896811242,2.15841584158416,1.34709074131869,238.3481250878949,11.760856332200177,8.265614466895526,3.9185941770521184
92,Boxing 1,Person,3.73529411764706,1.27369790306881,3.89108910891089,1.66673927234592,444.3884499104719,11.24432965388596,7.7722940766024,4.280721640467274
93,Boxing 2,Person,3.69607843137255,1.05106467178888,4.1980198019802,1.51009802317729,397.3451941809684,12.19539393651885,8.419206387625426,4.155143627176552
94,Bricks 1,Object,4.15686274509804,0.714005547295417,1.81188118811881,1.22239822715127,935.322836002832,13.91599134631862,8.350232880770852,5.8807499657956805
95,Bridge 1,Scene,5.89108910891089,0.999009410356178,3.55339805825243,1.77525560346764,1415.198870637263,14.749899988025668,8.842522261692627,6.139235498092146
96,Bubble 1,Object,4.79207920792079,1.08919081600212,3.07766990291262,1.68435313928249,95.70474553430162,12.193212115402183,8.763795790841778,3.830722386833762
97,Bubble 2,Object,5.0,1.03923048454133,3.03883495145631,1.74289780165152,129.54935943440762,10.338846941545471,7.63831372364912,3.220858310526051
98,Building 1,Scene,5.03703703703704,1.48466255913702,3.20192307692308,1.74811858750119,3958.928292900961,13.666519768397144,8.423511145050156,6.458879176800752
99,Building 2,Scene,4.7962962962963,1.13367535001802,3.17307692307692,1.82986183197598,1079.5643044014084,13.61331713257012,8.29970309287245,5.6531185374658275
100,Bungee jumping 1,Person,4.2037037037037,1.3586638520215,4.55769230769231,1.97472831154219,201.39826703281253,12.951694354422312,8.531424642177967,4.67877541706354
101,Bungee jumping 2,Person,4.76470588235294,1.17882699364884,4.65346534653465,1.71718166519653,91.54399143713488,8.493506537580597,6.835920608917045,2.429271315689408
102,Bungee jumping 3,Person,5.11111111111111,1.36260699371266,4.35576923076923,1.68326006638395,139.78143310493164,11.3942891129482,7.778666916837784,4.14215417160826
103,Camping 1,Person,5.6039603960396,0.980603976341031,3.25242718446602,1.6070826485448,484.4875411675478,13.083688655730466,8.699170988112147,4.745435005447406
104,Camping 2,Person,4.96039603960396,1.15689923570904,3.18446601941748,1.64345149009777,512.5617189598491,13.299068480509279,8.784151470597157,4.848436956502418
105,Camping 3,Person,5.01851851851852,1.03202442810944,2.98076923076923,1.55782253579304,674.2869477469972,13.098079246224433,8.646719547755794,4.984300401657691
106,Camping 4,Person,5.65686274509804,1.13010205479058,3.22772277227723,1.63022199788134,638.160981400143,13.794593790098503,8.812331728950415,5.259839268351802
107,Camping 6,Person,3.88118811881188,1.00286717677738,3.13592233009709,1.43519175250461,221.62781990610293,11.192909974745584,7.227628887742933,4.221283624608637
