,Theme,Category,Valence_mean,Valence_SD,Arousal_mean,Arousal_SD,Contrast,Entropy,Sum_Entropy,Difference_Entropy,Cropped_Contrast,Cropped_Entropy,Cropped_Sum_Entropy,Cropped_Difference_Entropy,Sabattier_Contrast,Sabattier_Entropy,Sabattier_Sum_Entropy,Sabattier_Difference_Entropy,Blurred1_Contrast,Blurred1_Entropy,Blurred1_Sum_Entropy,Blurred1_Difference_Entropy,Blurred2_Contrast,Blurred2_Entropy,Blurred2_Sum_Entropy,Blurred2_Difference_Entropy,Pixelated_Contrast,Pixelated_Entropy,Pixelated_Sum_Entropy,Pixelated_Difference_Entropy,Sharpened_Contrast,Sharpened_Entropy,Sharpened_Sum_Entropy,Sharpened_Difference_Entropy
30,Astronaut 2,Person,5.13725490196078,1.15217586396799,3.67326732673267,1.59442096631404,346.35917029296667,10.187971324283662,7.55111773716523,3.554477196183913,913.1802843982123,12.222024498863703,8.229580779151243,5.263735345960057,581.1168800809638,9.68248437350693,7.376051435207264,3.886837080567613,23.172895721267075,9.601021671644366,7.653778545731306,2.759573235356803,11.660090358662181,9.549927213799313,7.847735525241799,2.603642387331068,69.55306950618018,9.960314014777879,7.625785295550131,3.1489949097766763,809.435884676621,10.76179109223457,7.619469639187949,4.1482370703065
31,Baby 1,Person,6.17592592592593,0.993706398126079,4.08653846153846,1.76871725183901,31.987965646204675,10.592867444450377,8.102087856822505,3.1005345181017487,48.09649449731687,9.043852429692983,6.985127348228879,3.306163612062507,74.4927877289667,10.125222019954721,8.019131443884396,3.4140599673246266,8.065448534914442,9.67127002862327,8.165418526876838,2.5390288678260085,4.410688652995214,9.223565223769846,8.104858203937896,2.2422576192820918,15.305576925153556,10.166584590154661,8.146676100957894,2.8184990565810417,79.3831385107307,11.43107985640971,8.022874341373551,3.7252415324741692
32,Baby 2,Person,6.02777777777778,1.05421568785088,3.66346153846154,1.83604988046482,147.82026358983623,10.75239505464101,7.999769390917171,3.5003826403175484,176.41577097540207,11.778238869546424,8.461808503842377,3.997070187954966,257.2808082286125,10.096973774917778,7.861313654261063,3.8834229794956787,16.957702687957354,9.77789769335843,7.929783181039927,2.5702207336512006,8.037611950718475,9.597202402331193,7.97068090618586,2.349157197248349,44.24184952109729,10.278899096414856,8.011403138051115,2.9969043644479143,369.3285688375495,11.553091430271547,8.041654215808272,4.249693350081846
33,Baby 3,Person,5.84158415841584,1.16389581378512,4.11650485436893,1.74502638259615,139.73011536795383,10.246920341454972,7.5376958020064375,3.314044928212653,113.77966617401279,10.528240064910392,7.801526953519034,3.3687192156901142,286.17196317886396,10.106999795195115,7.8816986205394395,3.857184751197845,14.852713617083781,9.49394578938088,7.6082467114106525,2.641438935394579,6.248807909051183,9.088080785178676,7.655450640603113,2.2771875877259484,41.59442624471998,9.937287898954256,7.539119840794241,3.0034170672163536,310.4433981434045,10.75744654379504,7.548061079898475,3.8402120261793984
34,Baby 4,Person,5.92079207920792,1.23841163041076,4.27184466019417,1.85870593164676,101.85723120991344,10.816518037106448,7.8141242264452035,3.7792415418154452,189.16848464007978,12.658460586944955,8.796001801397722,4.467550728350357,243.42727697374696,10.104077463616221,7.741790392828754,4.0886954596645,11.81681806218953,9.660581589917424,7.865307402334328,2.433879099999939,6.217001310264636,9.464116022257935,7.9477486951041065,2.215781627659917,26.405108749453767,10.108744513485586,7.812329641802988,2.9407816634735595,369.7950627715326,11.361486879458312,7.833544474017669,4.488769428476591
35,Baby 5,Person,6.13888888888889,1.06304388681557,3.72115384615385,1.82993835520997,122.73149020095325,11.708809737625526,8.09931111466361,3.9564511802056543,212.87605681294065,11.642270382661033,8.029942426709999,4.280736266309004,227.53552638673327,10.926484229520126,8.040651829217385,4.397214431204263,9.077752385096005,9.870060032864902,8.14467753047574,2.590238866887094,4.354411696199417,9.246902192163983,8.057718074550667,2.202190564785522,25.357862786349635,10.863447582989421,8.10678436305851,3.16465949289928,396.9337228090263,12.709616200037072,8.142525243460952,4.828327858028617
36,Baby 6,Person,6.0462962962963,0.989517575833472,3.65384615384615,1.76684256126451,104.58948172284408,12.647496506085414,8.754175218305502,4.123130503347841,72.87771835906177,11.435509916160608,8.245033884053399,3.7933290101824775,263.866491990874,11.6013106128193,8.447950037349909,4.666862854736246,13.64368516983842,11.043641658623393,8.785297485663351,2.8347430946003818,6.018332195719761,10.458190040220888,8.735035176642146,2.4322312040634264,32.78764836502577,11.839649647895357,8.767916222633886,3.386703606819729,340.5433165503937,13.519863079400208,8.775413343973279,4.935780408346771
37,Baby 7,Person,2.97058823529412,1.30843328846192,4.24752475247525,1.66976609496096,29.475391283820766,11.137410160420142,8.151661110413695,3.32166763796643,43.72196119489196,10.90634013486325,7.8413410441470734,3.6013838977345056,81.51566960110698,10.357816204168174,7.931269006302546,3.7453557261950947,5.7217967708600135,9.765298430610285,8.104124305494157,2.275692847399002,3.3155102900035667,9.323808165993713,8.056830346181663,2.027811848851976,11.40265548578359,10.36232543772682,8.128423247105973,2.640307080159298,93.60787267643056,12.063223444410657,8.14384006965344,4.141778267414137
38,Baby 8,Person,6.10185185185185,1.11857565317045,3.92307692307692,1.85227389874369,306.22712829229863,12.294583320329032,8.411581145557879,4.292545354900107,237.53970514315682,12.201686995109277,8.646358873095794,4.358149607523089,664.0516411343988,11.589349118351022,8.358809449027742,4.7805629660483016,22.855612105162685,10.206642360036426,8.239046492802109,2.676859737994963,11.882961560338726,9.925701837577268,8.24487762372242,2.5185922128245393,61.85239439405116,11.363598702594857,8.417468693162718,3.4037951158112625,819.3308521654833,13.07444147092053,8.47683340245623,5.001729419696699
39,Baby 9,Person,5.85294117647059,1.22188831969721,3.64356435643564,1.70636548497584,120.54945919470514,10.640149051985594,7.938154635791091,3.454634208827536,212.11711771100968,11.83806156310998,8.390589619644752,4.23173335338606,241.60220433033984,10.234520215143345,8.000226914387943,3.906892083189842,14.359732083841859,10.04652532307892,7.9821534982541,2.7562920449342454,8.878418897318447,9.806252760131116,8.23078608921022,2.6137177193355092,36.74511577101569,10.408315657907139,7.9552408269770325,3.1364088909574557,265.3004806900767,11.10361960454069,7.964213632239305,3.923668288079405
40,Baby 10,Person,5.42156862745098,1.33821422688067,3.89108910891089,1.70235713115086,483.5158028500607,13.425326376576585,8.757763176249792,4.932450989028288,1250.7575047130908,11.44933500076042,8.57380256244366,5.723893148250715,738.1196616239997,12.324648129793298,8.3853687848191,5.362889401490958,21.747650620162624,11.377882906951829,8.610437731119443,3.2057274335120725,5.974309284609317,10.293987776501309,8.546158344091758,2.4394800157917307,101.52344856693331,12.641376573815464,8.737636751906491,4.1374637336797715,1261.2947213185762,14.083549706880554,8.813887240333376,5.5761912913902005
41,Band 1,Person,4.87128712871287,1.11052569836662,3.00970873786408,1.41764196391899,709.9340417394933,13.144410988769364,8.354501072906306,5.252135149531037,694.1461034542399,9.923183116038533,7.095211216483619,4.67459180956102,1311.571161189547,12.651703270388817,8.485753947908913,5.769839371919681,30.174216188015137,11.087809082821543,8.257525802493877,3.4564497996164465,10.099914107036131,10.172492431692666,8.256664621764699,2.7883678762114825,127.057494354624,12.380762943189048,8.369410060317076,4.3775842317072975,1558.8608978075185,13.88522231411396,8.443846809517243,5.90993962640481
42,Band 2,Person,5.15686274509804,1.11466460825459,3.84158415841584,1.54746678973945,590.6822120588288,11.614649873756804,7.828893980560495,4.536347007656067,213.07274886882388,9.952571148173305,7.367713470053175,4.043829210423631,954.9276473410479,10.98397983247972,7.845121742649349,4.90578021489137,40.43355384955372,10.239190461561593,7.8972303963200385,3.160848369146513,13.634054824561403,9.791381037448065,8.001737472332806,2.7287342688329503,146.11574376447106,10.998940532834485,7.9104665376318115,3.8133852015543335,1193.0075165575504,12.368958767213105,7.873614599288953,5.318299803681666
43,Bar 1,Scene,4.90196078431373,1.18162334989673,3.45544554455446,1.6032763484518,731.1985115148834,13.589849106356002,8.82598874383799,5.138790118633084,5126.248966942148,11.006762480835494,8.392811198873405,6.901226334778606,1142.8956633775065,12.604486870094536,8.582909840175594,5.596179944299125,36.39729378682177,11.856638427789374,8.785268845535885,3.5927788122170807,10.418481510012507,10.952459672202004,8.732618944758222,2.8413929123482085,145.84019989289345,12.871531901853718,8.824450358972925,4.404875892560451,1795.0437800042425,14.23239799142474,8.839041956495848,5.816238799051606
44,Bar 2,Scene,4.75247524752475,1.02377673927531,3.78640776699029,1.74136798510451,901.97747069766,13.87072034718952,8.607941287707071,5.503699194994625,1380.4253086297622,11.882630887274184,8.48173170174245,5.965977914556952,1417.8195479511653,12.809317062995943,8.335541984418594,5.8896284876820815,27.637616597857374,11.273090728503067,8.55752901725361,3.403813303922684,10.28679211242033,10.334065530988138,8.48513378480244,2.8114163376799866,108.35155728625166,12.683628088888272,8.589219507610942,4.282023658405158,2820.497527911082,14.834116097882337,8.728040886075258,6.441579194751894
45,Bar 3,Scene,4.49019607843137,1.30304364218925,3.25742574257426,1.61030099886037,772.1520454361093,13.116574497101855,8.559570219845948,5.088120077092357,536.7182994065624,12.426536059726816,8.467799603337742,5.112463342277108,1201.9288643408365,12.381083264485396,8.429360395624121,5.605322844345428,35.71786132729117,11.601169266324963,8.589525073211231,3.5227555355728177,10.598806694215504,10.87847738657198,8.551201412904692,2.8156311994917442,155.84070523879822,12.502711888295098,8.60502496993891,4.3905681688006215,1791.7986985455857,13.69418980247194,8.554761282772109,5.782120656306736
